id,position,question,answer_coordinates,answer_text
e906bd3942764bd2969412dced4e1970,1,products with viscosity bigger than 70,"['(2, 2)', '(6, 2)', '(8, 2)', '(10, 2)', '(11, 2)']","[""' Plextol DV 585 '"", ""' Plextol DV 455 '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'XL-732   '""]"
7ca0fa2d196f4bc99cf26c602343452c,2,products with viscosity larger than 51,"['(0, 2)', '(2, 2)', '(6, 2)', '(8, 2)', '(10, 2)', '(11, 2)']","[""'XL-702  '"", ""' Plextol DV 585 '"", ""' Plextol DV 455 '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'XL-732   '""]"
40fc0edebd04485c94d615e5db5e8f18,3,products with viscosity bigger than 50,"['(0, 2)', '(1, 2)', '(2, 2)', '(6, 2)', '(8, 2)', '(10, 2)', '(11, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""' Plextol DV 585 '"", ""' Plextol DV 455 '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'XL-732   '""]"
dd733974017c4d7baf8df556e4f92534,4,products with viscosity more than 20,"['(0, 2)', '(1, 2)', '(2, 2)', '(3, 2)', '(6, 2)', '(8, 2)', '(10, 2)', '(11, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""' Plextol DV 585 '"", ""'Unithane IC-355 NF  '"", ""' Plextol DV 455 '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'XL-732   '""]"
1ecc2e592a3b40cf8ae294942fc5f391,5,products with viscosity bigger than 500,"['(2, 2)', '(10, 2)']","[""' Plextol DV 585 '"", ""' Plextol R 5530 '""]"
48899833fd494064864961f0560734e3,6,products with viscosity bigger than 20,"['(0, 2)', '(1, 2)', '(2, 2)', '(3, 2)', '(6, 2)', '(8, 2)', '(10, 2)', '(11, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""' Plextol DV 585 '"", ""'Unithane IC-355 NF  '"", ""' Plextol DV 455 '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'XL-732   '""]"
6e386c9152ca44e286ac8f37607f25d0,7,products with viscosity more than 150,"['(2, 2)', '(6, 2)', '(10, 2)', '(11, 2)']","[""' Plextol DV 585 '"", ""' Plextol DV 455 '"", ""' Plextol R 5530 '"", ""'XL-732   '""]"
5e454a6070e04a2397beae0478fe8b60,8,products with viscosity greater than 20,"['(0, 2)', '(1, 2)', '(2, 2)', '(3, 2)', '(6, 2)', '(8, 2)', '(10, 2)', '(11, 2)']","[""'XL-702  '"", ""'Silres MP 42E  '"", ""' Plextol DV 585 '"", ""'Unithane IC-355 NF  '"", ""' Plextol DV 455 '"", ""'Surfaron A1408 A75  '"", ""' Plextol R 5530 '"", ""'XL-732   '""]"
27891f57565e493582ad6f7b191458bb,9,products with viscosity bigger than 725,"['(2, 2)']","[""' Plextol DV 585 '""]"
adf8e64ee06b462299797e59537e0193,10,products with viscosity greater than 500,"['(2, 2)', '(10, 2)']","[""' Plextol DV 585 '"", ""' Plextol R 5530 '""]"
